Date,Total Tested,Pending,Negative,Positive,Active,ICU,ICU (on ventilators),Death,Discharged,PUI,PUI Positive,PUI Negative,PUI Pending Results,Close Contact - ,CC - Positive,CC Negative,CC Pending ,ILI/SARI,ILI/SARI Positive,ILI/SARI Negative,ILI/SARI Pending,Tabligh,Tabligh Positive,Tabligh Negative,Tabligh Pending,Mission Testing,Mission/Embassy Positive,Mission Negative,Mission Pending,Cruise Testing,Cruise Positive,Cruise Negative,Cruise Pending,Wave 1 - Imported,Wave 2 - Cluster 26/33,Wave 2 - Tabligh,Wave 2 - Unknown
2020-01-25,,,,3.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,
2020-01-26,,,,4.0,4.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
2020-01-27,,,,4.0,4.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
2020-01-28,,,,4.0,4.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
2020-01-29,,,,7.0,7.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,
2020-01-30,,,,8.0,8.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
2020-01-31,,,,8.0,8.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
2020-02-01,,,,8.0,8.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
2020-02-02,,,,8.0,8.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
2020-02-03,,,,8.0,8.0,,,0.0,0.0, ,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,
2020-02-04,,,,10.0,9.0,,,0.0,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,
2020-02-05,,,,12.0,11.0,,,0.0,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
2020-02-06,,,,14.0,13.0,,,0.0,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
2020-02-07,,,,14.0,13.0,,,0.0,1.0, ,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
2020-02-08,,,,16.0,14.0,,,0.0,2.0, ,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,
2020-02-09,,,,17.0,14.0,,,0.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,
2020-02-10,,,,18.0,15.0,,,0.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,
2020-02-11,,,,18.0,15.0,,,0.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,
2020-02-12,,,,18.0,15.0,,,0.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,
2020-02-13,,,,19.0,16.0,,,0.0,3.0, ,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,
2020-02-14,,,634.0,19.0,12.0,,,0.0,7.0, ,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,
2020-02-15,,,634.0,22.0,15.0,,,0.0,7.0, ,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,
