Date,Tested,dTested,Pending,dPending,Negative,dNegative,Positive,dPositive,Case/Test,Case/Test (3dma),dcase/dtest,Active,ICU,dICU,ICU/Active,Discharged,dDischarged,Death,dDeath,Death/Case,Discharged + Death
2020-01-25,,,,,,,3.0,3.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-26,,,,,,,4.0,1.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-27,,,,,,,4.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-28,,,,,,,4.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-29,,,,,,,7.0,3.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-30,,,,,,,8.0,1.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-01-31,,,,,,,8.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-02-01,,,,,,,8.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-02-02,,,,,,,8.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-02-03,,,,,,,8.0,0.0,,,,,,0.0,,0.0,0.0,0.0,0.0,,
2020-02-04,,,,,,,10.0,2.0,,,,,,0.0,,1.0,1.0,0.0,0.0,,1.0
2020-02-05,,,,,,,12.0,2.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,1.0
2020-02-06,,,,,,,14.0,2.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,1.0
2020-02-07,,,,,,,14.0,0.0,,,,,,0.0,,1.0,0.0,0.0,0.0,,1.0
2020-02-08,,,,,,,16.0,2.0,,,,,,0.0,,2.0,1.0,0.0,0.0,,2.0
2020-02-09,,,,,,,17.0,1.0,,,,,,0.0,,3.0,1.0,0.0,0.0,,3.0
2020-02-10,,,,,,,18.0,1.0,,,,,,0.0,,3.0,0.0,0.0,0.0,,3.0
2020-02-11,,,,,,,18.0,0.0,,,,,,0.0,,3.0,0.0,0.0,0.0,,3.0
2020-02-12,,,,,,,18.0,0.0,,,,15.0,,0.0,,3.0,0.0,0.0,0.0,,3.0
2020-02-13,,,,,,,19.0,1.0,,,,16.0,,0.0,,3.0,0.0,0.0,0.0,,3.0
2020-02-14,,,,,,,19.0,0.0,,,,12.0,,0.0,,7.0,4.0,0.0,0.0,,7.0
2020-02-15,,,,,,,22.0,3.0,,,,15.0,,0.0,,7.0,0.0,0.0,0.0,,7.0
2020-02-16,,,,,,,22.0,0.0,,,,15.0,,0.0,,7.0,0.0,0.0,0.0,,7.0
