date,state,district,cases
2020-03-11,Perlis,Kangar,
2020-03-12,Perlis,Kangar,
2020-03-13,Perlis,Kangar,
2020-03-14,Perlis,Kangar,
2020-03-15,Perlis,Kangar,
2020-03-16,Perlis,Kangar,
2020-03-17,Perlis,Kangar,
2020-03-18,Perlis,Kangar,
2020-03-19,Perlis,Kangar,
2020-03-20,Perlis,Kangar,
2020-03-21,Perlis,Kangar,9.0
2020-03-22,Perlis,Kangar,
2020-03-23,Perlis,Kangar,
2020-03-24,Perlis,Kangar,9.0
2020-03-25,Perlis,Kangar,10.0
2020-03-26,Perlis,Kangar,10.0
2020-03-27,Perlis,Kangar,
2020-03-28,Perlis,Kangar,10.0
2020-03-29,Perlis,Kangar,
2020-03-30,Perlis,Kangar,11.0
2020-03-31,Perlis,Kangar,
2020-04-01,Perlis,Kangar,
2020-04-02,Perlis,Kangar,
2020-04-03,Perlis,Kangar,
2020-03-10,Kedah,Kuala Muda,
2020-03-11,Kedah,Kuala Muda,
2020-03-12,Kedah,Kuala Muda,
2020-03-13,Kedah,Kuala Muda,
2020-03-14,Kedah,Kuala Muda,
2020-03-15,Kedah,Kuala Muda,
2020-03-16,Kedah,Kuala Muda,
2020-03-17,Kedah,Kuala Muda,
2020-03-18,Kedah,Kuala Muda,
2020-03-19,Kedah,Kuala Muda,
2020-03-20,Kedah,Kuala Muda,
2020-03-21,Kedah,Kuala Muda,23.0
2020-03-22,Kedah,Kuala Muda,
2020-03-23,Kedah,Kuala Muda,
2020-03-24,Kedah,Kuala Muda,27.0
2020-03-25,Kedah,Kuala Muda,28.0
2020-03-26,Kedah,Kuala Muda,28.0
2020-03-27,Kedah,Kuala Muda,
2020-03-28,Kedah,Kuala Muda,29.0
2020-03-29,Kedah,Kuala Muda,
2020-03-30,Kedah,Kuala Muda,30.0
2020-03-31,Kedah,Kuala Muda,
2020-04-01,Kedah,Kuala Muda,
2020-04-02,Kedah,Kuala Muda,
2020-04-03,Kedah,Kuala Muda,
2020-03-10,Kedah,Kota Setar,
2020-03-11,Kedah,Kota Setar,
2020-03-12,Kedah,Kota Setar,
2020-03-13,Kedah,Kota Setar,
2020-03-14,Kedah,Kota Setar,
2020-03-15,Kedah,Kota Setar,
2020-03-16,Kedah,Kota Setar,
2020-03-17,Kedah,Kota Setar,
2020-03-18,Kedah,Kota Setar,
2020-03-19,Kedah,Kota Setar,
2020-03-20,Kedah,Kota Setar,
2020-03-21,Kedah,Kota Setar,10.0
2020-03-22,Kedah,Kota Setar,
2020-03-23,Kedah,Kota Setar,
2020-03-24,Kedah,Kota Setar,15.0
2020-03-25,Kedah,Kota Setar,19.0
2020-03-26,Kedah,Kota Setar,22.0
2020-03-27,Kedah,Kota Setar,
2020-03-28,Kedah,Kota Setar,22.0
2020-03-29,Kedah,Kota Setar,
2020-03-30,Kedah,Kota Setar,22.0
2020-03-31,Kedah,Kota Setar,
2020-04-01,Kedah,Kota Setar,
2020-04-02,Kedah,Kota Setar,
2020-04-03,Kedah,Kota Setar,
2020-03-10,Kedah,Kubang Pasu,
2020-03-11,Kedah,Kubang Pasu,
2020-03-12,Kedah,Kubang Pasu,
2020-03-13,Kedah,Kubang Pasu,
2020-03-14,Kedah,Kubang Pasu,
2020-03-15,Kedah,Kubang Pasu,
2020-03-16,Kedah,Kubang Pasu,
2020-03-17,Kedah,Kubang Pasu,
2020-03-18,Kedah,Kubang Pasu,
2020-03-19,Kedah,Kubang Pasu,
2020-03-20,Kedah,Kubang Pasu,
2020-03-21,Kedah,Kubang Pasu,6.0
2020-03-22,Kedah,Kubang Pasu,
2020-03-23,Kedah,Kubang Pasu,
2020-03-24,Kedah,Kubang Pasu,7.0
2020-03-25,Kedah,Kubang Pasu,7.0
2020-03-26,Kedah,Kubang Pasu,7.0
2020-03-27,Kedah,Kubang Pasu,
2020-03-28,Kedah,Kubang Pasu,7.0
2020-03-29,Kedah,Kubang Pasu,
2020-03-30,Kedah,Kubang Pasu,7.0
2020-03-31,Kedah,Kubang Pasu,
2020-04-01,Kedah,Kubang Pasu,
