,latitude,longitude,description,locationName,source,reportedDate,entryBy
0,3.119767,101.666859,"Case 24, a Japanese woman, sought treatment here before diagnosed. Her hospital roommate ( Case 29) and a nurse (Case 27) became infected","Pantai Medical Centre, KL",https://www.malaysiakini.com/news/512769,27/02/2020,Admin
1,3.132716,101.683538,"Case 26 is a senior Khazanah personnel. Khazanah's office is at Menara UEM, KL Sentral, Kuala Lumpur.",Menara UEM,https://www.nst.com.my/news/nation/2020/03/571052/khazanahs-office-undergoing-clean-over-covid-19,2020-02-03 00:00:00,malaysiakini.com
2,3.1906183,101.7326796,Felcra board member tested positive. Closed for cleaning from March 4-6.,Wisma Felcra,https://www.freemalaysiatoday.com/category/nation/2020/03/04/wisma-felcra-closed-for-3-days-until-march-6-for-covid-19-sterilisation/,2020-03-03 00:00:00,Admin
3,3.079986,101.593863,"Emergency room was temporarily closed after three cases reported there, including a staff member.",Subang Jaya Medical Centre,https://www.malaysiakini.com/news/513289,2020-04-03 00:00:00,Admin
4,3.145313,101.699274,"Case 26, is an UDA Holdings board member who attended an event at the UDA-owned hotel.",Ancasa Hotel,https://www.bernama.com/en/news.php?id=1818378,2020-04-03 00:00:00,Admin
5,3.157412,101.695626,Case 26 is an UDA Holdings board member. UDA Holdings' headquarters is in Pertama Complex.,Pertama Complex,https://themalaysianreserve.com/2020/03/04/malaysia-records-7-new-cases-of-covid-19/,2020-04-03 00:00:00,Admin
6,3.083951,101.688029,"A resident of Bukit Gembira Condominium was diagnosed on 05/03/2020, according to a notice by the building management.",Bukit Gembira condominium,,2020-05-03 00:00:00,malaysiakini.com
7,3.096346,101.677866,"Staff had contact with one Covid-19 patient, who has been transferred to Hospital Kuala Lumpur.",Taman Desa Medical Centre,https://www.malaysiakini.com/news/513455,2020-05-03 00:00:00,Admin
8,3.160224,101.716816,A Covid-19 patient attended the Kuala Lumpur Bar AGM held at Wisma MCA's San Choon Hall.,Wisma MCA,MCA press statement,2020-06-03 00:00:00,malaysiakini.com
9,3.013055,101.610877,"A parishioner from the Church of Our Lady of Guadalupe in Taman Industri, Puchong, had tested positive on March 5.",Church of Our Lady of Guadalupe,https://www.malaysiakini.com/news/513576,2020-06-03 00:00:00,Admin
