,Quarantine Station,State,latitude,longitude,geoType
0,"Institut Kemahiran Belia Negara Kuala Perlis, Perlis",Perlis,6.3981776,100.1445082,GEOMETRIC_CENTER
1,"Institut Kemahiran MARA Beseri, Perlis",Perlis,6.554882,100.2301111,GEOMETRIC_CENTER
2,"Institut Pendidikan Guru, Kampus Perlis, Kangar, Perlis",Perlis,6.4248477,100.22008,ROOFTOP
3,"Institut Latihan Perindustrian Kangar, Perlis",Perlis,6.4273625,100.2130064,GEOMETRIC_CENTER
4,"Kem Bina Negara Kaki Bukit, Perlis",Perlis,6.643025,100.20901,APPROXIMATE
5,"Kolej Komuniti Arau, Perlis",Perlis,6.3783383,100.2398295,GEOMETRIC_CENTER
6,"Politeknik Tuanku Syed Sirajuddin, Arau, Perlis",Perlis,6.4514187,100.3390095,GEOMETRIC_CENTER
7,"Akademi Koreksional Malaysia, Langkawi, Kedah",Kedah,6.3062306,99.8543001,GEOMETRIC_CENTER
8,"Akademi Kastam Diraja Malaysia (Cawangan Langkawi), Kedah",Kedah,6.3023553,99.7962536,GEOMETRIC_CENTER
9,"Akademi Pengangkutan Jalan Malaysia Wilayah Utara, Langkawi, Kedah",Kedah,6.32971,99.850542,GEOMETRIC_CENTER
10,"Institut Akuakultur Marin Pulau Sayak Kedah, Kedah",Kedah,5.655319,100.335157,GEOMETRIC_CENTER
11,"Institut Aminuddin Baki Cawangan Utara, Jitra, Kedah",Kedah,6.2423045,100.4301412,GEOMETRIC_CENTER
12,"Institut Tadbiran Awam Negara Wilayah Utara, Sungai Petani, Kedah",Kedah,5.6268849,100.528927,GEOMETRIC_CENTER
13,"Institut Kemahiran Belia Negara Jitra, Kedah",Kedah,6.300998,100.419687,GEOMETRIC_CENTER
14,"Institut Kemahiran Belia Negara Naka, Kuala Nerang, Kedah",Kedah,6.1300177,100.6700779,GEOMETRIC_CENTER
15,"Institut Kemahiran MARA Alor Setar, Kedah",Kedah,6.1169,100.3546699,GEOMETRIC_CENTER
16,"Institut Kemahiran MARA Sik, Kedah",Kedah,5.834008,100.756291,GEOMETRIC_CENTER
17,"Institut Kemahiran MARA Sungai Petani, Kedah",Kedah,5.6531208,100.5007413,GEOMETRIC_CENTER
18,"Institut Latihan Kementerian Kesihatan Malaysia Alor Setar (Pembantu Perubatan), Kedah",Kedah,6.1423319,100.3739174,ROOFTOP
19,"Institut Latihan Perindustrian Jitra, Kedah",Kedah,6.2535812,100.4324337,GEOMETRIC_CENTER
20,"Institut Pendidikan Guru, Kampus Darulaman, Jitra, Kedah",Kedah,6.244167,100.4319294,GEOMETRIC_CENTER
21,"Institut Pendidikan Guru, Kampus Sultan Abdul Halim, Sungai Petani, Kedah",Kedah,5.6290799,100.5231187,GEOMETRIC_CENTER
22,"Institut Pengurusan Peladang, Langkawi, Kedah",Kedah,6.3289043,99.8536535,GEOMETRIC_CENTER
23,"Pusat Pembangunan Kemahiran Industri dan Pengurusan, Sungai Petani, Kedah",Kedah,5.65257,100.505,GEOMETRIC_CENTER
24,"Kem Bina Negara Kulim, Kedah",Kedah,5.3419353,100.5493011,GEOMETRIC_CENTER
25,"Kem Bina Negara Langkawi, Kedah",Kedah,6.3515823,99.8076253,GEOMETRIC_CENTER
26,"Kolej Komuniti Bandar Darul Aman, Jitra, Kedah",Kedah,6.2445647,100.4204935,GEOMETRIC_CENTER
27,"Kolej Komuniti Jerai, Guar Chempedak, Kedah",Kedah,5.8539185,100.4455036,GEOMETRIC_CENTER
28,"Kolej Komuniti Kulim, Kedah",Kedah,5.370752,100.5670598,ROOFTOP
29,"Kolej Komuniti Langkawi, Kedah",Kedah,6.3171724,99.7247759,GEOMETRIC_CENTER
30,"Kolej Komuniti Padang Terap, Kuala Nerang, Kedah",Kedah,6.2490782,100.5949342,GEOMETRIC_CENTER
31,"Kolej Komuniti Sungai Petani, Kedah",Kedah,5.67057,100.5109059,ROOFTOP
32,"Kolej Komuniti Bandar Baharu, Kedah",Kedah,5.1310589,100.495054,ROOFTOP
33,"Kolej Komuniti Baling, Kedah",Kedah,5.6556861,100.8727714,GEOMETRIC_CENTER
34,"Kolej Pertanian Malaysia, Kampus Induk, Bukit Tangga, Bukit Kayu Hitam, Kedah",Kedah,6.4986949,100.4767436,GEOMETRIC_CENTER
35,"Majlis Perbandaran Kubang Pasu, Jitra, Kedah",Kedah,6.300376,100.421847,GEOMETRIC_CENTER
36,"Politeknik Sultan Abdul Halim Mu’adzam Shah, Jitra, Kedah",Kedah,6.2477008,100.4322187,GEOMETRIC_CENTER
37,"Politeknik Tuanku Sultanah Bahiyah, Kulim, Kedah",Kedah,5.383429,100.5759871,GEOMETRIC_CENTER
38,"Pusat Bimbingan Usahawan Teluk Chengai, Kedah",Kedah,6.1033097,100.3301431,APPROXIMATE
39,"Pusat Latihan Agensi Antidadah Kebangsaan Sungai Petani, Sungai Petani, Kedah",Kedah,5.626002,100.53271,ROOFTOP
40,"Pusat Latihan RELA Wilayah Utara, Sungai Petani, Kedah",Kedah,5.743204,100.6260099,GEOMETRIC_CENTER
41,"Pusat Latihan dan Pembangunan Pengembangan, Wilayah Utara, Telok Chengai, Kedah",Kedah,6.0918494,100.3302373,GEOMETRIC_CENTER
42,"Pusat Latihan Teknologi Tinggi Kulim, Kedah",Kedah,5.3357061,100.7463611,GEOMETRIC_CENTER
43,"Pusat Pengeluaran dan Penyelidikan Benih Udang Kebangsaan, Kuala Muda, Kedah",Kedah,5.616295,100.375729,GEOMETRIC_CENTER
44,"Institut Kemahiran Belia Negara Bukit Mertajam, Pulau Pinang",Pulau Pinang,5.3940479,100.493434,GEOMETRIC_CENTER
45,"Institut Latihan Statistik Malaysia, Pulau Pinang",Pulau Pinang,5.4193539,100.3079012,ROOFTOP
46,"Institut Kemahiran Tinggi PERDA, Nibong Tebal, Pulau Pinang",Pulau Pinang,5.1618683,100.5337597,GEOMETRIC_CENTER
47,"Institut Kemahiran Tinggi Belia Negara Bukit Mertajam, Pulau Pinang",Pulau Pinang,5.39476,100.4937104,GEOMETRIC_CENTER
48,"Institut Pendidikan Guru Kampus Pulau Pinang, Pulau Pinang",Pulau Pinang,5.3766368,100.3125093,GEOMETRIC_CENTER
49,"Institut Pendidikan Guru Kampus Tuanku Bainun, Pulau Pinang",Pulau Pinang,5.4024979,100.489002,GEOMETRIC_CENTER
50,"Institut Pertanian Bumbung Lima, Pulau Pinang",Pulau Pinang,5.5522223,100.4433625,GEOMETRIC_CENTER
51,"Institut Teknikal Jepun Malaysia, Pulau Pinang",Pulau Pinang,5.3038906,100.4456806,ROOFTOP
52,"Institut Latihan Kecemerlangan MARA, Pulau Pinang",Pulau Pinang,5.1930807,100.501371,ROOFTOP
53,"Institut Latihan Perindustrian Arumugam Pillai, Nibong Tebal, Pulau Pinang",Pulau Pinang,5.1635864,100.4981896,GEOMETRIC_CENTER
54,"Institut Latihan Perindustrian Kepala Batas, Pulau Pinang",Pulau Pinang,5.5210162,100.4811569,ROOFTOP
55,"Institut Latihan Perindustrian Perai, Pulau Pinang",Pulau Pinang,5.373721,100.389338,GEOMETRIC_CENTER
56,"Kem Bina Negara Balik Pulau, Pulau Pinang",Pulau Pinang,5.2962039,100.184864,GEOMETRIC_CENTER
57,"Kolej Kejururawatan, Pulau Pinang",Pulau Pinang,5.4194639,100.309944,GEOMETRIC_CENTER
58,"Kolej Komuniti Bayan Baru, Pulau Pinang",Pulau Pinang,5.3324429,100.279293,ROOFTOP
59,"Kolej Komuniti Bukit Mertajam, Pulau Pinang",Pulau Pinang,5.3809232,100.4642375,GEOMETRIC_CENTER
60,"Kolej Komuniti Kepala Batas, Pulau Pinang",Pulau Pinang,5.5199814,100.4343523,ROOFTOP
