Date,state,cases
2020-01-25,Perlis,
2020-01-26,Perlis,
2020-01-27,Perlis,
2020-01-28,Perlis,
2020-01-29,Perlis,
2020-01-30,Perlis,
2020-01-31,Perlis,
2020-02-01,Perlis,
2020-02-02,Perlis,
2020-02-03,Perlis,
2020-02-04,Perlis,
2020-02-05,Perlis,
2020-02-06,Perlis,
2020-02-07,Perlis,
2020-02-08,Perlis,
2020-02-09,Perlis,
2020-02-10,Perlis,
2020-02-11,Perlis,
2020-02-12,Perlis,
2020-02-13,Perlis,
2020-02-14,Perlis,
2020-02-15,Perlis,
2020-02-16,Perlis,
2020-02-17,Perlis,
2020-02-18,Perlis,
2020-02-19,Perlis,
2020-02-20,Perlis,
2020-02-21,Perlis,
2020-02-22,Perlis,
2020-02-23,Perlis,
2020-02-24,Perlis,
2020-02-25,Perlis,
2020-02-26,Perlis,
2020-02-27,Perlis,
2020-02-28,Perlis,
2020-02-29,Perlis,
2020-03-01,Perlis,
2020-03-02,Perlis,
2020-03-03,Perlis,
2020-03-04,Perlis,
2020-03-05,Perlis,
2020-03-06,Perlis,
2020-03-07,Perlis,
2020-03-08,Perlis,
2020-03-09,Perlis,
2020-03-10,Perlis,
2020-03-11,Perlis,
2020-03-12,Perlis,
2020-03-13,Perlis,1.0
2020-03-14,Perlis,2.0
2020-03-15,Perlis,2.0
2020-03-16,Perlis,8.0
2020-03-17,Perlis,8.0
2020-03-18,Perlis,8.0
2020-03-19,Perlis,9.0
2020-03-20,Perlis,9.0
2020-03-21,Perlis,9.0
2020-03-22,Perlis,9.0
2020-03-23,Perlis,9.0
2020-03-24,Perlis,9.0
2020-03-25,Perlis,10.0
2020-03-26,Perlis,10.0
2020-03-27,Perlis,10.0
2020-03-28,Perlis,10.0
2020-03-29,Perlis,10.0
2020-03-30,Perlis,11.0
2020-03-31,Perlis,12.0
2020-04-01,Perlis,12.0
2020-04-02,Perlis,12.0
2020-04-03,Perlis,12.0
2020-04-04,Perlis,12.0
2020-04-05,Perlis,12.0
2020-01-25,Kedah,
2020-01-26,Kedah,
2020-01-27,Kedah,
2020-01-28,Kedah,
2020-01-29,Kedah,
2020-01-30,Kedah,
2020-01-31,Kedah,
2020-02-01,Kedah,
2020-02-02,Kedah,
2020-02-03,Kedah,
2020-02-04,Kedah,
2020-02-05,Kedah,
2020-02-06,Kedah,
2020-02-07,Kedah,
2020-02-08,Kedah,
2020-02-09,Kedah,
2020-02-10,Kedah,
2020-02-11,Kedah,
2020-02-12,Kedah,
2020-02-13,Kedah,
2020-02-14,Kedah,
2020-02-15,Kedah,
2020-02-16,Kedah,
2020-02-17,Kedah,
2020-02-18,Kedah,
2020-02-19,Kedah,
2020-02-20,Kedah,
2020-02-21,Kedah,
2020-02-22,Kedah,
2020-02-23,Kedah,
2020-02-24,Kedah,
2020-02-25,Kedah,
2020-02-26,Kedah,
2020-02-27,Kedah,
2020-02-28,Kedah,
2020-02-29,Kedah,
2020-03-01,Kedah,
2020-03-02,Kedah,
2020-03-03,Kedah,
2020-03-04,Kedah,
2020-03-05,Kedah,
2020-03-06,Kedah,
2020-03-07,Kedah,
2020-03-08,Kedah,
2020-03-09,Kedah,
2020-03-10,Kedah,
2020-03-11,Kedah,
2020-03-12,Kedah,
2020-03-13,Kedah,5.0
2020-03-14,Kedah,5.0
2020-03-15,Kedah,5.0
2020-03-16,Kedah,31.0
2020-03-17,Kedah,31.0
2020-03-18,Kedah,36.0
2020-03-19,Kedah,40.0
2020-03-20,Kedah,41.0
2020-03-21,Kedah,47.0
2020-03-22,Kedah,52.0
2020-03-23,Kedah,59.0
2020-03-24,Kedah,64.0
2020-03-25,Kedah,69.0
2020-03-26,Kedah,72.0
2020-03-27,Kedah,73.0
2020-03-28,Kedah,74.0
2020-03-29,Kedah,75.0
2020-03-30,Kedah,77.0
2020-03-31,Kedah,77.0
2020-04-01,Kedah,77.0
2020-04-02,Kedah,77.0
2020-04-03,Kedah,77.0
2020-04-04,Kedah,77.0
2020-04-05,Kedah,77.0
2020-01-25,Pulau Pinang,
2020-01-26,Pulau Pinang,
2020-01-27,Pulau Pinang,
2020-01-28,Pulau Pinang,
2020-01-29,Pulau Pinang,
2020-01-30,Pulau Pinang,
2020-01-31,Pulau Pinang,
2020-02-01,Pulau Pinang,
2020-02-02,Pulau Pinang,
2020-02-03,Pulau Pinang,
2020-02-04,Pulau Pinang,
2020-02-05,Pulau Pinang,
2020-02-06,Pulau Pinang,
2020-02-07,Pulau Pinang,
2020-02-08,Pulau Pinang,
2020-02-09,Pulau Pinang,
2020-02-10,Pulau Pinang,
2020-02-11,Pulau Pinang,
2020-02-12,Pulau Pinang,
2020-02-13,Pulau Pinang,
2020-02-14,Pulau Pinang,
2020-02-15,Pulau Pinang,
2020-02-16,Pulau Pinang,
2020-02-17,Pulau Pinang,
2020-02-18,Pulau Pinang,
2020-02-19,Pulau Pinang,
2020-02-20,Pulau Pinang,
2020-02-21,Pulau Pinang,
2020-02-22,Pulau Pinang,
2020-02-23,Pulau Pinang,
2020-02-24,Pulau Pinang,
2020-02-25,Pulau Pinang,
2020-02-26,Pulau Pinang,
2020-02-27,Pulau Pinang,
2020-02-28,Pulau Pinang,
2020-02-29,Pulau Pinang,
2020-03-01,Pulau Pinang,
2020-03-02,Pulau Pinang,
2020-03-03,Pulau Pinang,
2020-03-04,Pulau Pinang,
2020-03-05,Pulau Pinang,
2020-03-06,Pulau Pinang,
2020-03-07,Pulau Pinang,
2020-03-08,Pulau Pinang,
2020-03-09,Pulau Pinang,
2020-03-10,Pulau Pinang,
2020-03-11,Pulau Pinang,
2020-03-12,Pulau Pinang,
2020-03-13,Pulau Pinang,7.0
2020-03-14,Pulau Pinang,7.0
2020-03-15,Pulau Pinang,7.0
2020-03-16,Pulau Pinang,15.0
2020-03-17,Pulau Pinang,23.0
2020-03-18,Pulau Pinang,30.0
2020-03-19,Pulau Pinang,32.0
2020-03-20,Pulau Pinang,37.0
2020-03-21,Pulau Pinang,50.0
2020-03-22,Pulau Pinang,58.0
2020-03-23,Pulau Pinang,66.0
2020-03-24,Pulau Pinang,68.0
2020-03-25,Pulau Pinang,70.0
2020-03-26,Pulau Pinang,74.0
2020-03-27,Pulau Pinang,80.0
2020-03-28,Pulau Pinang,86.0
2020-03-29,Pulau Pinang,87.0
2020-03-30,Pulau Pinang,88.0
2020-03-31,Pulau Pinang,94.0
2020-04-01,Pulau Pinang,94.0
2020-04-02,Pulau Pinang,94.0
2020-04-03,Pulau Pinang,94.0
2020-04-04,Pulau Pinang,94.0
2020-04-05,Pulau Pinang,94.0
2020-01-25,Perak,
2020-01-26,Perak,
2020-01-27,Perak,
2020-01-28,Perak,
2020-01-29,Perak,
2020-01-30,Perak,
2020-01-31,Perak,
2020-02-01,Perak,
2020-02-02,Perak,
2020-02-03,Perak,
2020-02-04,Perak,
2020-02-05,Perak,
2020-02-06,Perak,
2020-02-07,Perak,
2020-02-08,Perak,
2020-02-09,Perak,
2020-02-10,Perak,
2020-02-11,Perak,
2020-02-12,Perak,
2020-02-13,Perak,
2020-02-14,Perak,
2020-02-15,Perak,
