Negeri,Bilangan Peserta Dikesan,Bilangan Markas,Bilangan Periksa,Bilangan Sampel,Positive,Negative,Pending,Admit,Home Surveilance
Perlis,109,1,109,109,7,67,35,7,99
Kedah,323,2,323,224,31,19,178,2,300
Pulau Pinang,483,2,483,143,28,79,36,28,340
Perak,577,3,577,187,28,158,1,46,98
Selangor,1924,8,1924,590,40,245,273,81,1843
Negeri Sembilan,262,1,262,71,33,13,35,34,228
Melaka,371,1,371,179,17,125,37,27,344
Johor,709,2,1276,390,53,64,273,70,711
Pahang,910,2,894,409,29,283,164,29,586
Terengganu,470,2,364,84,10,39,35,33,331
Kelantan,614,1,614,455,28,401,26,40,371
Sabah,2426,4,1895,1126,91,707,328,111,685
Sarawak,656,5,656,196,38,106,52,89,340
WP Kuala Lumpur,764,5,764,741,75,200,493,43,338
WP Labuan,52,1,41,82,5,53,24,19,13
